gene.ID,geneID_UCSC,gene.name,chrom,strand,Tx.start,Tx.end,TSS
mm10-13125,"NM_001291162,NM_001033196",Znfx1,chr2,-,167035795,167063015,167063015
mm10-13126,NR_138563,Zfas1,chr2,+,167062933,167065862,167062933
mm10-13127,NR_028540,Snord12,chr2,+,167065292,167065358,167065292
mm10-13128,NM_008420,Kcnb1,chr2,-,167095968,167188818,167188818
mm10-13129,NM_008968,Ptgis,chr2,-,167203195,167240537,167240537
mm10-13130,NM_019835,B4galt5,chr2,-,167298444,167349178,167349178
mm10-13131,"NM_148929,NM_001304542,NM_001304540,NR_130767",Slc9a8,chr2,+,167421709,167477000,167421709
mm10-13132,NM_170756,Spata2,chr2,-,167481135,167492874,167492874
mm10-13133,NM_030743,Rnf114,chr2,+,167492644,167516166,167492644
mm10-13134,NM_011427,Snai1,chr2,+,167538194,167542811,167538194
mm10-13135,"NM_001311146,NM_023230,NM_001311131",Ube2v1,chr2,-,167607638,167632005,167632005
mm10-13136,NM_145538,Tmem189,chr2,-,167643224,167661544,167661544
mm10-13137,"NM_009883,NM_001287739,NM_001287738",Cebpb,chr2,+,167688914,167690432,167688914
mm10-13138,"NR_110334,NR_015500",A530013C23Rik,chr2,+,167690758,167697413,167690758
mm10-13139,NM_011201,Ptpn1,chr2,+,167932326,167979385,167932326
mm10-13140,NM_001080708,Fam65c,chr2,-,167980785,168010593,168010593
mm10-13141,NM_021409,Pard6b,chr2,+,168081003,168101203,168081003
mm10-13142,NR_040327,E130018N17Rik,chr2,-,168152602,168154513,168154513
mm10-13143,"NM_009628,NM_001310088,NM_001310086",Adnp,chr2,-,168180964,168207112,168207112
mm10-13144,NR_132310,Dpm1-adnp,chr2,-,168180964,168230379,168230379
mm10-13145,"NM_010072,NM_001310084",Dpm1,chr2,-,168209047,168230379,168230379
mm10-13146,NM_001160330,Mocs3,chr2,+,168230621,168232303,168230621
mm10-13147,NM_001081134,Kcng1,chr2,-,168261697,168269331,168269331
mm10-13148,"NM_001291176,NM_001291175,NM_001291174,NM_001291173,NM_001291169,NM_001291170,NM_001291168,NM_010899,NM_001136073,NR_111898,NM_001291179,NM_001037178,NM_001037177,NM_001291178,NM_001291177,NM_001291172,NM_001291171,NR_111897",Nfatc2,chr2,-,168476409,168601657,168601657
mm10-13149,"NM_015731,NM_001289446,NM_001289445",Atp9a,chr2,-,168634437,168742136,168742136
mm10-13150,NR_105971,Mir7004,chr2,-,168640695,168640759,168640759
mm10-13151,"NM_175303,NM_201396,NM_201395",Sall4,chr2,-,168748331,168767201,168767201
mm10-13152,NM_009564,Zfp64,chr2,-,168925360,168955587,168955587
mm10-13153,NR_040326,1700017J07Rik,chr2,+,168978268,168978906,168978268
mm10-13154,NM_080455,Tshz2,chr2,+,169633645,169888504,169633645
mm10-13155,NR_131974,AY702102,chr2,-,169962012,169963187,169963187
mm10-13156,"NR_033632,NR_033634",A630075F10Rik,chr2,-,170061239,170070778,170070778
mm10-13157,"NM_001159683,NM_001033299",Zfp217,chr2,-,170108642,170142675,170142675
mm10-13158,"NM_029815,NM_001164369",Bcas1,chr2,-,170346990,170427845,170427845
mm10-13159,NR_040610,Bcas1os2,chr2,+,170356360,170380435,170356360
mm10-13160,NM_009996,Cyp24a1,chr2,-,170482956,170497145,170497145
mm10-13161,"NM_001013369,NM_001199902,NM_001110152",Pfdn4,chr2,+,170496427,170519070,170496427
mm10-13162,NR_040367,Gm16796,chr2,-,170499356,170511927,170511927
mm10-13163,NR_027825,4930470P17Rik,chr2,-,170579417,170602017,170602017
mm10-13164,"NM_001163686,NM_029761",Dok5,chr2,+,170731806,170879775,170731806
mm10-13165,NR_040509,1700028P15Rik,chr2,-,171956878,171962799,171962799
mm10-13166,NM_175631,Cbln4,chr2,-,172036335,172043466,172043466
mm10-13167,NM_008561,Mc3r,chr2,+,172248491,172251114,172248491
mm10-13168,NM_025912,Fam210b,chr2,+,172345576,172355749,172345576
mm10-13169,"NM_001291185,NM_011497",Aurka,chr2,-,172356189,172370570,172370570
mm10-13170,NM_024199,Cstf1,chr2,+,172371002,172381086,172371002
mm10-13171,"NM_001080820,NM_001276423,NM_001276422",Cass4,chr2,+,172393793,172433757,172393793
mm10-13172,NM_025542,Rtfdc1,chr2,+,172440577,172469899,172440577
mm10-13173,NM_001039560,Gcnt7,chr2,-,172450312,172458596,172458596
mm10-13174,NM_029608,Fam209,chr2,+,172472553,172474316,172472553
mm10-13175,"NM_001159696,NM_009335",Tfap2c,chr2,+,172549592,172558621,172549592
mm10-13176,NM_007557,Bmp7,chr2,-,172868011,172940321,172940321
mm10-13177,"NM_001083960,NM_001083959,NM_012046,NM_001305434",Spo11,chr2,+,172979841,172993576,172979841
mm10-13178,NM_175112,Rae1,chr2,+,173000116,173015739,173000116
mm10-13179,NM_019547,Rbm38,chr2,+,173021901,173034731,173021901
mm10-13180,NM_001081387,Ctcfl,chr2,-,173093608,173119525,173119525
mm10-13181,NR_040321,Ctcflos,chr2,+,173124748,173133204,173124748
mm10-13182,NM_011044,Pck1,chr2,+,173153072,173159253,173153072
mm10-13183,"NM_021394,NM_001139519",Zbp1,chr2,-,173206611,173218922,173218922
mm10-13184,NM_022995,Pmepa1,chr2,-,173224464,173276533,173276533
mm10-13185,NM_028158,1700021F07Rik,chr2,+,173522591,173528502,173522591
mm10-13186,"NM_001199955,NM_027303",Ankrd60,chr2,-,173568660,173578341,173578341
mm10-13187,NR_027957,Ppp4r1l-ps,chr2,-,173579319,173659539,173659539
mm10-13188,NM_024436,Rab22a,chr2,+,173659844,173702182,173659844
mm10-13189,NR_105758,Mir6340,chr2,-,173701029,173701148,173701148
mm10-13190,NM_029308,1700010B08Rik,chr2,+,173719414,173722086,173719414
mm10-13191,NM_019806,Vapb,chr2,+,173737570,173784336,173737570
mm10-13192,"NM_172675,NM_001102423,NM_001102425,NM_001102424",Stx16,chr2,+,174077050,174099771,174077050
mm10-13193,NM_213733,Npepl1,chr2,+,174110350,174122702,174110350
mm10-13194,NR_040530,Gm10714,chr2,-,174125037,174183918,174183918
mm10-13195,NR_029646,Mir296,chr2,-,174267046,174267125,174267125
mm10-13196,NR_029649,Mir298,chr2,-,174267503,174267585,174267585
mm10-13197,NR_002846,Nespas,chr2,-,174281236,174295436,174295436
mm10-13198,"NM_001077507,NM_010309,NM_001077510,NR_003258,NM_201618,NM_201617,NM_201616,NM_001310085,NM_001310083,NM_022000,NM_019690",Gnas,chr2,+,174284319,174346742,174284319
mm10-13199,NM_020580,Nelfcd,chr2,+,174415803,174427502,174415803
mm10-13200,NM_022325,Ctsz,chr2,-,174427493,174439039,174439039
mm10-13201,NM_001080971,Tubb1,chr2,+,174450594,174458380,174450594
mm10-13202,NM_025983,Atp5e,chr2,-,174461074,174464101,174464101
mm10-13203,NM_025531,Slmo2,chr2,-,174465090,174472941,174472941
mm10-13204,NM_001099328,Zfp831,chr2,+,174643533,174710830,174643533
mm10-13205,NM_007903,Edn3,chr2,+,174760618,174784042,174760618
mm10-13206,NM_001085546,Gm14393,chr2,-,175061548,175067769,175067769
mm10-13207,NM_001242943,Zfp973,chr2,+,175469984,176681090,175469984
mm10-13208,NM_001242944,Zfp965,chr2,+,175470024,175480553,175470024
mm10-13209,NM_001099327,Gm14305,chr2,+,176708352,176721813,176708352
mm10-13210,NM_001205057,Gm14295,chr2,+,176798599,176808704,176798599
mm10-13211,NM_001177568,Zfp970,chr2,+,177464741,177479194,177464741
mm10-13212,NR_036450,Gm14403,chr2,+,177498225,177512311,177498225
mm10-13213,"NM_001324422,NM_001243903",Gm14322,chr2,+,177759287,177773275,177759287
mm10-13214,NM_001024849,Gm14325,chr2,-,177828990,177840336,177840336
mm10-13215,NR_038101,Gm14327,chr2,+,177897162,177927850,177897162
mm10-13216,NM_183135,Zfp972,chr2,-,177903063,177925650,177925650
mm10-13217,"NM_001282028,NM_001190302",Gm14326,chr2,-,177935992,177957288,177957288
mm10-13218,"NM_001177400,NM_001177399",Zfp971,chr2,+,178023283,178035859,178023283
mm10-13219,NM_001162922,Zfp931,chr2,-,178066877,178078425,178078425
mm10-13220,"NM_028806,NM_001177789,NM_001177790,NM_001177791,NM_001007154",Phactr3,chr2,+,178118974,178338492,178118974
mm10-13221,NM_177191,Sycp2,chr2,-,178345295,178407658,178407658
mm10-13222,NM_001085501,Ppp1r3d,chr2,-,178411205,178414463,178414463
mm10-13223,NM_001081289,Fam217b,chr2,+,178414533,178422161,178414533
mm10-13224,"NM_198656,NM_001291189",Cdh26,chr2,+,178430514,178487366,178430514
mm10-13225,NM_026596,4930591A17Rik,chr2,+,179414935,179416880,179414935
mm10-13226,"NM_009867,NM_001316723",Cdh4,chr2,+,179442430,179899375,179442430
mm10-13227,NM_001081092,Taf4,chr2,-,179912145,179976646,179976646
mm10-13228,NR_033782,4921531C22Rik,chr2,+,179976852,179979013,179976852
mm10-13229,NM_177727,Lsm14b,chr2,+,180024986,180035461,180024986
mm10-13230,"NM_011969,NM_001289476",Psma7,chr2,-,180036366,180042464,180042464
mm10-13231,NM_178750,Ss18l1,chr2,+,180042482,180070201,180042482
mm10-13232,"NM_001083329,NM_001083328,NM_181424,NM_028422",Mtg2,chr2,+,180070592,180085902,180070592
mm10-13233,"NR_102309,NM_133849",Hrh3,chr2,-,180099464,180104407,180104407
mm10-13234,NM_144500,Osbpl2,chr2,+,180119365,180162680,180119365
mm10-13235,NM_019822,Adrm1,chr2,+,180171587,180176283,180171587
mm10-13236,NM_001081171,Lama5,chr2,-,180176372,180225859,180225859
mm10-13237,NR_105972,Mir7005,chr2,-,180179754,180179823,180179823
mm10-13238,NM_025587,Rps21,chr2,+,180257378,180258444,180257378
mm10-13239,NR_037274,Mir3091,chr2,+,180257535,180257611,180257535
mm10-13240,NM_145851,Cables2,chr2,-,180258538,180273465,180273465
mm10-13241,NM_173031,Rbbp8nl,chr2,-,180277645,180289879,180289879
mm10-13242,NM_008093,Gata5,chr2,-,180325087,180334679,180334679
mm10-13243,NR_045877,Gata5os,chr2,+,180332856,180340732,180332856
mm10-13244,NR_040745,B230312C02Rik,chr2,-,180370857,180385885,180385885
mm10-13245,NR_045331,Mir1a-1hg,chr2,+,180385603,180401802,180385603
mm10-13246,NR_029528,Mir1a-1,chr2,+,180389047,180389124,180389047
mm10-13247,NR_029901,Mir133a-2,chr2,+,180398378,180398482,180398378
mm10-13248,NM_148933,Slco4a1,chr2,+,180460977,180474853,180460977
mm10-13249,NM_018766,Ntsr1,chr2,+,180499975,180544979,180499975
mm10-13250,NM_028479,Mrgbp,chr2,+,180581303,180585634,180581303
mm10-13251,NM_031373,Ogfr,chr2,+,180589406,180595837,180589406
mm10-13252,NM_009936,Col9a3,chr2,+,180598221,180622185,180598221
mm10-13253,NM_178254,Tcfl5,chr2,-,180621956,180642691,180642691
mm10-13254,"NM_175551,NM_011805,NM_001291433,NR_111965,NM_177852,NM_001291432",Dido1,chr2,-,180657962,180709999,180709999
mm10-13255,"NM_029607,NM_001289651,NM_001289652",Gid8,chr2,+,180710225,180721599,180710225
mm10-13256,NM_183161,Slc17a9,chr2,+,180725338,180742278,180725338
mm10-13257,NM_080641,Bhlhe23,chr2,-,180774380,180776900,180776900
mm10-13258,NR_029538,Mir124a-3,chr2,+,180894039,180894107,180894039
mm10-13259,NM_173761,Ythdf1,chr2,-,180904376,180920936,180920936
mm10-13260,NM_001163247,Birc7,chr2,+,180929022,180934010,180929022
mm10-13261,"NM_001141933,NM_021426",Nkain4,chr2,-,180934771,180954699,180954699
mm10-13262,"NM_001177708,NM_145760,NM_001177707,NM_001177709,NM_001177710,NM_001177706",Arfgap1,chr2,+,180967224,180982524,180967224
mm10-13263,NM_028518,Col20a1,chr2,+,180986534,181017540,180986534
mm10-13264,NM_015730,Chrna4,chr2,-,181022310,181039177,181039177
mm10-13265,"NM_001302888,NM_001003824,NM_010611,NM_001006674,NM_001003825,NM_001006669,NM_001006668",Kcnq2,chr2,-,181075578,181135289,181135289
mm10-13266,NM_007906,Eef1a2,chr2,-,181147691,181157015,181157015
mm10-13267,NM_025598,Ppdpf,chr2,+,181187342,181188504,181187342
mm10-13268,NM_009184,Ptk6,chr2,-,181195123,181202789,181202789
mm10-13269,NM_011481,Srms,chr2,-,181205562,181213171,181213171
mm10-13270,NM_199312,BC051628,chr2,+,181220015,181222851,181220015
mm10-13271,NM_183162,Helz2,chr2,-,181227614,181242027,181242027
mm10-13272,NM_198169,Gmeb2,chr2,-,181251450,181287966,181287966
mm10-13273,NM_009133,Stmn3,chr2,-,181306458,181314500,181314500
mm10-13274,"NM_001166666,NM_001166665,NM_001166668,NM_001166667,NM_001001882,NR_030710",Rtel1,chr2,+,181319723,181356616,181319723
mm10-13275,"NM_001165991,NM_029702,NM_001165995,NM_001165992,NR_028585",Arfrp1,chr2,-,181357689,181365404,181365404
mm10-13276,"NM_144894,NM_001048148",Zgpat,chr2,+,181364930,181380793,181364930
mm10-13277,NM_023684,Lime1,chr2,+,181381234,181383628,181381234
mm10-13278,NR_045164,Slc2a4rg-ps,chr2,+,181384249,181387596,181384249
mm10-13279,"NM_027656,NM_028125",Zbtb46,chr2,-,181390885,181459426,181459426
mm10-13280,NM_183181,Abhd16b,chr2,+,181493205,181494980,181493205
mm10-13281,"NM_001291197,NM_025482,NM_001291204,NM_001291202,NM_001291201,NM_001291200,NM_001291203,NR_111899",Tpd52l2,chr2,+,181497141,181517962,181497141
mm10-13282,"NM_016775,NM_001271585,NM_001271584,NR_073369",Dnajc5,chr2,+,181520484,181552880,181520484
mm10-13283,NM_026765,Uckl1,chr2,-,181569152,181581973,181581973
mm10-13284,"NR_027290,NR_027289",Uckl1os,chr2,+,181578479,181585115,181578479
mm10-13285,NM_001164597,Zfp512b,chr2,-,181582102,181592461,181592461
mm10-13286,NR_105973,Mir7006,chr2,-,181587899,181587968,181587968
mm10-13287,NM_172676,Samd10,chr2,-,181595217,181599147,181599147
mm10-13288,NM_133701,Prpf6,chr2,+,181601318,181655661,181601318
mm10-13289,NM_009236,Sox18,chr2,-,181669836,181671640,181671640
mm10-13290,NM_009326,Tcea2,chr2,+,181680309,181688051,181680309
mm10-13291,"NM_001291210,NM_001291209,NM_001291208,NM_026446,NM_001291207,NM_001291206,NM_001291205",Rgs19,chr2,-,181688418,181693977,181693977
mm10-13292,NM_199023,Lkaaear1,chr2,-,181696794,181698442,181698442
mm10-13293,"NM_001252565,NM_011012,NR_134926,NM_001318919,NM_001318920,NM_001318922,NM_001318923,NM_001318924,NM_001318925",Oprl1,chr2,+,181715015,181720985,181715015
mm10-13294,"NM_001171616,NM_001171615,NM_001171680,NM_008665",Myt1,chr2,+,181763331,181827775,181763331
mm10-13295,"NM_001291211,NM_153594",Pcmtd2,chr2,+,181837853,181857460,181837853
mm10-13296,NM_025901,Polr3k,chr2,+,181864359,181870826,181864359
mm10-13297,NM_001205282,Gm14496,chr2,+,181991225,182001087,181991225
mm10-13298,NM_013920,Hnf4g,chr3,+,3508029,3659800,3508029
mm10-13299,NR_045272,1110015O18Rik,chr3,+,4798707,4814911,4798707
mm10-13300,NR_045905,2700069I18Rik,chr3,-,5177823,5220823,5220823
mm10-13301,NM_030708,Zfhx4,chr3,+,5218553,5415855,5218553
mm10-13302,"NM_001267715,NM_001267714,NM_001163301,NM_001163302,NM_008994,NM_001163306,NM_001163305",Pex2,chr3,-,5560187,5576248,5576248
mm10-13303,NM_027048,1700008P02Rik,chr3,-,6615412,6620443,6620443
mm10-13304,NM_008862,Pkia,chr3,+,7366603,7445365,7366603
mm10-13305,NM_173181,Zc2hc1a,chr3,+,7503425,7553848,7503425
mm10-13306,"NM_001313888,NM_008371,NM_001313889,NM_001313890",Il7,chr3,-,7572027,7613760,7613760
mm10-13307,NR_040587,1700010I02Rik,chr3,-,7925302,7954887,7954887
mm10-13308,NR_033512,Gm6194,chr3,-,8461386,8463098,8463098
mm10-13309,NM_025285,Stmn2,chr3,+,8509526,8561604,8509526
mm10-13310,NM_010423,Hey1,chr3,-,8663358,8667038,8667038
mm10-13311,NM_025434,Mrps28,chr3,-,8802145,8923857,8923857
mm10-13312,"NM_009412,NM_001025264,NM_001025263,NM_001025262,NM_001025261",Tpd52,chr3,-,8929435,9004515,9004515
mm10-13313,NR_040597,4930539M17Rik,chr3,+,9061963,9071076,9061963
mm10-13314,NM_177660,Zbtb10,chr3,+,9250566,9285332,9250566
mm10-13315,NR_015499,C030034L19Rik,chr3,+,9403077,9413903,9403077
mm10-13316,NM_133218,Zfp704,chr3,-,9427009,9610085,9610085
mm10-13317,"NM_001195031,NM_053182",Pag1,chr3,-,9687481,9833679,9833679
mm10-13318,"NM_010634,NM_001272098,NM_001272097",Fabp5,chr3,+,10012584,10016610,10012584
mm10-13319,NR_045710,Gm9833,chr3,+,10088276,10092562,10088276
mm10-13320,NM_001030305,Pmp2,chr3,-,10179850,10183885,10183885
mm10-13321,NM_011598,Fabp9,chr3,-,10193623,10197283,10197283
mm10-13322,NM_024406,Fabp4,chr3,-,10204342,10208576,10208576
mm10-13323,NM_029310,Fabp12,chr3,-,10244208,10301183,10301183
mm10-13324,"NM_018864,NM_001310433",Impa1,chr3,-,10311955,10331439,10331439
mm10-13325,NM_001010834,Slc10a5,chr3,-,10331733,10335656,10335656
mm10-13326,"NM_001331013,NM_001331014,NM_001331015,NM_025512",Zfand1,chr3,-,10339955,10351317,10351317
mm10-13327,NM_025519,Chmp4c,chr3,+,10366972,10391005,10366972
mm10-13328,"NM_001127191,NM_029068",Snx16,chr3,-,10417816,10440130,10440130
mm10-13329,NR_040751,Gm10745,chr3,-,11823228,11844359,11844359
mm10-13330,"NM_178631,NM_001163330,NM_001163329,NM_001163328",Ralyl,chr3,+,13471654,14182287,13471654
mm10-13331,NR_040598,4930539N22Rik,chr3,-,13597138,13652865,13652865
mm10-13332,NR_033591,Gm6300,chr3,+,14363116,14374239,14363116
mm10-13333,NM_080852,Slc7a12,chr3,+,14480698,14505818,14480698
mm10-13334,"NM_028915,NM_001163580,NM_001163579",Lrrcc1,chr3,+,14533787,14572658,14533787
mm10-13335,NM_007892,E2f5,chr3,+,14578670,14606309,14578670
mm10-13336,NM_001099674,1810022K09Rik,chr3,-,14606288,14611256,14611256
mm10-13337,NM_024495,Car13,chr3,+,14641726,14663002,14641726
mm10-13338,"NM_001083957,NM_009799",Car1,chr3,-,14766213,14808365,14808365
mm10-13339,NM_007606,Car3,chr3,+,14863537,14872373,14863537
mm10-13340,NM_009801,Car2,chr3,+,14886425,14900770,14886425
mm10-13341,"NR_040549,NR_040550",A930001A20Rik,chr3,+,14971200,15002727,14971200
mm10-13342,NM_001076679,Gm9733,chr3,-,15296550,15332302,15332302
mm10-13343,NM_001002898,Sirpb1a,chr3,-,15371826,15426427,15426427
mm10-13344,NM_001173460,Sirpb1b,chr3,-,15495753,15575065,15575065
mm10-13345,NM_001173459,LOC100038947,chr3,-,15795146,15848487,15848487
mm10-13346,NM_001081687,Gm5150,chr3,-,15948069,16006332,16006332
mm10-13347,"NM_172677,NR_027375,NM_001145919",Ythdf3,chr3,+,16183182,16217037,16183182
mm10-13348,NR_033490,Mir124-2hg,chr3,+,17789920,17800071,17789920
mm10-13349,NR_029814,Mir124a-2,chr3,+,17795661,17795770,17795661
mm10-13350,NM_029289,Cypt12,chr3,+,17948443,17948952,17948443
mm10-13351,NM_021560,Bhlhe22,chr3,+,18054324,18057514,18054324
mm10-13352,NM_007825,Cyp7b1,chr3,-,18071949,18243338,18243338
mm10-13353,NR_040544,4930433B08Rik,chr3,-,18468284,18480477,18480477
mm10-13354,NM_028840,Armc1,chr3,-,19132143,19163065,19163065
mm10-13355,"NM_026182,NM_001253391,NM_001253390,NR_045575",Mtfr1,chr3,+,19187328,19220817,19187328
mm10-13356,"NM_001122759,NM_008802",Pde7a,chr3,-,19223108,19311322,19311322
mm10-13357,"NM_025489,NM_001163537,NM_001163536",Dnajc5b,chr3,+,19508594,19610862,19508594
mm10-13358,NM_001081281,Trim55,chr3,+,19644459,19691599,19644459
mm10-13359,NM_205769,Crh,chr3,-,19693400,19695396,19695396
mm10-13360,NR_027985,4632415L05Rik,chr3,+,19894870,19898984,19894870
mm10-13361,"NM_007752,NM_001276250,NM_001276248",Cp,chr3,+,19957053,20009750,19957053
mm10-13362,"NM_001146324,NM_080634,NM_001146323",Hps3,chr3,-,19995944,20035310,20035310
mm10-13363,"NM_009210,NR_105047,NR_105046",Hltf,chr3,+,20057810,20118491,20057810
mm10-13364,NM_013755,Gyg,chr3,-,20122083,20155116,20155116
mm10-13365,NM_007753,Cpa3,chr3,-,20215615,20242181,20242181
mm10-13366,NR_105974,Mir7007,chr3,-,20222289,20222359,20222359
mm10-13367,NM_029706,Cpb1,chr3,-,20249478,20275733,20275733
mm10-13368,NM_175086,Agtr1b,chr3,-,20314472,20367177,20367177
mm10-13369,NM_030732,Tbl1xr1,chr3,+,22076651,22216594,22076651
mm10-13370,NR_004439,Rprl2,chr3,+,22251369,22251607,22251369
mm10-13371,NM_001326288,Naaladl2,chr3,-,23798102,24784006,24784006
mm10-13372,"NM_001163387,NM_138666",Nlgn1,chr3,-,25431840,26331909,26331909
mm10-13373,"NM_029150,NM_027583",Spata16,chr3,+,26637630,26983212,26637630
mm10-13374,"NM_001177626,NM_001177625,NM_007900",Ect2,chr3,-,27097221,27153878,27153878
mm10-13375,NR_040548,1700125G22Rik,chr3,+,27154025,27157019,27154025
mm10-13376,NM_178772,Nceh1,chr3,+,27183003,27244911,27183003
mm10-13377,NM_009425,Tnfsf10,chr3,+,27317076,27339665,27317076
mm10-13378,NM_177330,Ghsr,chr3,+,27371350,27378010,27371350
mm10-13379,NM_173182,Fndc3b,chr3,-,27416161,27710439,27710439
mm10-13380,NR_037275,Mir3092,chr3,-,27584899,27584995,27584995
mm10-13381,NM_001164437,Tmem212,chr3,-,27866064,27896368,27896368
mm10-13382,"NM_008875,NM_001164056",Pld1,chr3,+,27938679,28133362,27938679
mm10-13383,"NM_001163009,NM_026910,NM_001163007,NM_001163008",Tnik,chr3,+,28263213,28670585,28263213
mm10-13384,NR_130342,Mir466q,chr3,+,28419942,28420018,28419942
mm10-13385,NM_031197,Slc2a2,chr3,+,28697902,28728360,28697902
mm10-13386,NM_177586,Eif5a2,chr3,+,28781310,28798846,28781310
mm10-13387,NM_026517,Rpl22l1,chr3,+,28805510,28807415,28805510
mm10-13388,NM_001033479,Gm1527,chr3,+,28892616,28926724,28892616
mm10-13389,"NM_029412,NM_001167748",Egfem1,chr3,+,29082576,29691056,29082576
mm10-13390,NR_030422,Mir551b,chr3,+,29416822,29416920,29416822
mm10-13391,NR_105796,Mir21b,chr3,+,29636743,29636851,29636743
mm10-13392,NR_110437,Mannr,chr3,+,29891016,29924191,29891016
mm10-13393,"NM_007963,NM_021442",Mecom,chr3,-,29951295,30509487,30509487
mm10-13394,NM_029690,Actrt3,chr3,-,30597072,30599870,30599870
mm10-13395,"NM_030557,NM_001289621,NM_001289623,NM_001289622",Mynn,chr3,+,30602086,30619873,30602086
mm10-13396,NM_027941,Lrrc34,chr3,-,30624266,30647818,30647818
mm10-13397,"NM_001290510,NM_026668",Lrriq4,chr3,+,30644506,30672431,30644506
mm10-13398,NM_001309233,Lrrc31,chr3,-,30678553,30699843,30699843
mm10-13399,"NM_029489,NR_028060",Samd7,chr3,+,30746292,30767174,30746292
mm10-13400,NM_027016,Sec62,chr3,+,30792875,30821263,30792875
mm10-13401,"NM_027965,NM_001134386,NM_001134385,NM_001286994,NM_001286996,NM_001286995",Gpr160,chr3,+,30855949,30897194,30855949
mm10-13402,"NM_001165956,NM_001165955,NM_001165954,NM_153421",Phc3,chr3,-,30899294,30969415,30969415
mm10-13403,NM_008857,Prkci,chr3,+,30995770,31052740,30995770
mm10-13404,NR_105975,Mir7008,chr3,+,31038965,31039028,31038965
mm10-13405,"NM_011386,NM_001271772,NM_001039090",Skil,chr3,+,31095057,31122923,31095057
mm10-13406,NM_008770,Cldn11,chr3,+,31149919,31164326,31149919
mm10-13407,NM_172861,Slc7a14,chr3,-,31202855,31310319,31310319
mm10-13408,NM_028231,Kcnmb2,chr3,+,31902702,32200180,31902702
mm10-13409,NM_009517,Zmat3,chr3,-,32334793,32365665,32365665
mm10-13410,NR_027966,4930429B21Rik,chr3,+,32365488,32367438,32365488
mm10-13411,NM_008839,Pik3ca,chr3,+,32436150,32468486,32436150
mm10-13412,NM_001195074,Kcnmb3,chr3,-,32472320,32491969,32491969
mm10-13413,"NM_001161818,NM_144519",Zfp639,chr3,+,32510549,32520833,32510549
mm10-13414,NM_024200,Mfn1,chr3,+,32529481,32579225,32529481
mm10-13415,NM_013531,Gnb4,chr3,-,32583527,32616535,32616535
mm10-13416,NM_019673,Actl6a,chr3,+,32708545,32726971,32708545
mm10-13417,NM_029017,Mrpl47,chr3,-,32727496,32736755,32736755
mm10-13418,NM_025316,Ndufb5,chr3,+,32737062,32751559,32737062
mm10-13419,NM_001013024,Usp13,chr3,+,32817625,32935257,32817625
mm10-13420,"NM_001163516,NM_001163517,NM_001289505,NM_021483,NM_001310460",Pex5l,chr3,-,32947925,33143191,33143191
mm10-13421,NR_040595,4930419G24Rik,chr3,+,33024776,33088607,33024776
mm10-13422,"NM_027619,NM_001290500,NM_025978,NM_001290502",Ttc14,chr3,+,33800182,33814860,33800182
mm10-13423,NM_026222,Ccdc39,chr3,-,33812360,33844310,33844310
mm10-13424,"NM_001113188,NM_008053,NM_001113189",Fxr1,chr3,+,34020078,34069344,34020078
mm10-13425,"NM_026332,NM_001026211,NM_001286973,NM_001286972",Dnajc19,chr3,-,34057279,34081354,34081354
mm10-13426,NR_015580,Sox2ot,chr3,+,34560380,34677993,34560380
mm10-13427,NR_035433,Mir1897,chr3,+,34638463,34638542,34638463
mm10-13428,NM_011443,Sox2,chr3,+,34649994,34652460,34649994
mm10-13429,"NR_038348,NR_038347",Gm3143,chr3,-,34699639,34716662,34716662
mm10-13430,NR_110488,Gm38509,chr3,+,34772074,34782346,34772074
mm10-13431,NR_105799,Mir6378,chr3,-,34922544,34922651,34922651
mm10-13432,NR_040748,Gm6639,chr3,-,35597151,35666163,35666163
mm10-13433,NM_029570,Atp11b,chr3,+,35754137,35856276,35754137
mm10-13434,"NM_001205361,NM_033623,NM_001205362",Dcun1d1,chr3,-,35892104,35932966,35932966
mm10-13435,NM_023644,Mccc1,chr3,-,35959305,36000678,36000678
mm10-13436,NR_029456,Mccc1os,chr3,+,35999912,36008828,35999912
mm10-13437,NM_178418,Ccdc144b,chr3,-,36007246,36053547,36053547
mm10-13438,NM_172678,Acad9,chr3,+,36065999,36092857,36065999
mm10-13439,NM_001101478,D3Ertd254e,chr3,+,36151079,36170341,36151079
mm10-13440,NM_198192,Qrfpr,chr3,-,36179425,36222275,36222275
mm10-13441,NM_009673,Anxa5,chr3,-,36448923,36475887,36475887
mm10-13442,NR_105976,Mir7009,chr3,-,36475460,36475524,36475524
mm10-13443,NM_028183,1810062G17Rik,chr3,+,36475936,36482299,36475936
mm10-13444,NR_040590,Gm11548,chr3,-,36499803,36506809,36506809
mm10-13445,NR_040411,Gm11549,chr3,-,36515056,36521445,36521445
mm10-13446,NM_019393,Exosc9,chr3,+,36552605,36565727,36552605
mm10-13447,NM_009828,Ccna2,chr3,-,36564864,36571996,36571996
mm10-13448,NM_027810,Bbs7,chr3,-,36573142,36613389,36613389
mm10-13449,NM_019510,Trpc3,chr3,-,36620481,36690167,36690167
mm10-13450,NM_172679,4932438A13Rik,chr3,+,36863105,37053033,36863105
mm10-13451,NM_009350,Adad1,chr3,+,37063655,37111512,37063655
mm10-13452,NM_008366,Il2,chr3,-,37120715,37125954,37125954
mm10-13453,"NM_021782,NM_001291041",Il21,chr3,-,37222758,37232636,37232636
