tSNE1	tSNE2	cluster	cell_id
7.35	6.65	B	Exp100-Sample2.all_Tn5-AGTCTG_BC03981_N03
-16.71	-15.3	CD4	Exp100-Sample2.all_Tn5-AGTCTG_BC04007_N04
16.84	-13.54	Mono-2	Exp100-Sample2.all_Tn5-AGTCTG_BC04068_N02
2.47	-22.09	HSPC	Exp100-Sample2.all_Tn5-AGTCTG_BC04151_N03
-5.14	-7.08	CD4	Exp100-Sample2.all_Tn5-AGTCTG_BC04274_N01
-4.53	-2.09	CD4	Exp100-Sample2.all_Tn5-AGTCTG_BC04317_N03
10.06	17.48	preB	Exp100-Sample2.all_Tn5-AGTCTG_BC04684_N03
11.47	-9.18	Mono-1	Exp100-Sample2.all_Tn5-AGTCTG_BC04824_N03
16.69	-3.44	Mono-1	Exp100-Sample2.all_Tn5-AGTCTG_BC04911_N03
1.9	27.01	NK	Exp100-Sample2.all_Tn5-AGTCTG_BC04944_N03
-21.68	-8.99	CD4	Exp100-Sample2.all_Tn5-AGTCTG_BC05116_N02
-20.41	-12.49	CD4	Exp100-Sample2.all_Tn5-AGTCTG_BC05313_N02
12	-2.94	Mono-1	Exp100-Sample2.all_Tn5-AGTCTG_BC05720_N03
-12.73	-12.61	CD4	Exp100-Sample2.all_Tn5-AGTCTG_BC06082_N05
30.01	-0.39	Ery-late	Exp100-Sample2.all_Tn5-ATACTT_BC00099_N02
13.58	3.79	B	Exp100-Sample2.all_Tn5-ATACTT_BC00268_N02
16.13	16.19	preB	Exp100-Sample2.all_Tn5-ATACTT_BC00603_N02
11.55	9.66	preB	Exp100-Sample2.all_Tn5-ATACTT_BC00775_N02
-8.05	11.16	CD8	Exp100-Sample2.all_Tn5-ATACTT_BC00901_N02
-14.6	11.24	CD8	Exp100-Sample2.all_Tn5-ATACTT_BC00938_N01
-3.88	7.41	CD8	Exp100-Sample2.all_Tn5-ATACTT_BC00989_N02
13.51	14.27	preB	Exp100-Sample2.all_Tn5-ATACTT_BC01040_N02
15.02	-20.94	Mono-2	Exp100-Sample2.all_Tn5-ATACTT_BC01110_N03
30.52	-2.16	Ery-early	Exp100-Sample2.all_Tn5-ATACTT_BC01295_N01
-16.16	-4.87	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC01311_N02
8.94	-19.76	Mono-2	Exp100-Sample2.all_Tn5-ATACTT_BC01409_N03
-11.18	-1.86	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC01511_N01
15.54	18.38	preB	Exp100-Sample2.all_Tn5-ATACTT_BC01558_N02
-0.13	-26.63	HSPC	Exp100-Sample2.all_Tn5-ATACTT_BC01684_N05
-12.05	-10.83	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC01755_N02
6.29	12.55	preB	Exp100-Sample2.all_Tn5-ATACTT_BC01832_N02
-7.46	5.14	CD8	Exp100-Sample2.all_Tn5-ATACTT_BC01855_N03
-25.99	-1.73	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC01894_N03
7.31	12.54	preB	Exp100-Sample2.all_Tn5-ATACTT_BC02003_N03
-24.87	-2.53	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC02066_N02
-11.92	13.29	CD8	Exp100-Sample2.all_Tn5-ATACTT_BC02099_N03
-17.81	-15.46	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC02280_N02
-11.6	20.13	CD8	Exp100-Sample2.all_Tn5-ATACTT_BC02362_N01
19.86	-0.86	CLP	Exp100-Sample2.all_Tn5-ATACTT_BC02379_N03
-19.16	0.77	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC02508_N03
-7.56	-22.19	pDC	Exp100-Sample2.all_Tn5-ATACTT_BC02526_N02
-4.38	-6.45	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC02618_N03
-16.15	-7.46	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC02627_N02
-7.18	17.82	CD8	Exp100-Sample2.all_Tn5-ATACTT_BC02678_N03
-13.59	6.66	CD8	Exp100-Sample2.all_Tn5-ATACTT_BC02691_N03
-17.7	-14.58	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC02749_N02
-12.2	-14.85	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC02987_N03
-11.82	-2.55	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC03007_N03
-13.03	-17.07	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC03010_N03
-5.95	27.21	NK	Exp100-Sample2.all_Tn5-ATACTT_BC03049_N02
-11.96	15.01	CD8	Exp100-Sample2.all_Tn5-ATACTT_BC03120_N03
-12.93	-11.52	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC03185_N03
-16.27	2.29	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC03331_N02
-23.47	-6.14	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC03471_N03
-15	-13.22	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC03586_N03
32.16	5.14	Ery-late	Exp100-Sample2.all_Tn5-ATACTT_BC03601_N03
-18.65	1.06	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC03629_N04
0.75	-27.16	HSPC	Exp100-Sample2.all_Tn5-ATACTT_BC03786_N05
-17.89	-7.54	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC04162_N03
-12.57	-6.93	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC04243_N05
-15.79	12.99	CD8	Exp100-Sample2.all_Tn5-ATACTT_BC04467_N01
2.56	-21.25	HSPC	Exp100-Sample2.all_Tn5-ATACTT_BC04525_N02
11.87	-9.37	Mono-1	Exp100-Sample2.all_Tn5-ATACTT_BC04534_N02
3.1	-27.26	HSPC	Exp100-Sample2.all_Tn5-ATACTT_BC05012_N02
-16.42	-0.86	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC05095_N03
-22.83	-11.56	CD4	Exp100-Sample2.all_Tn5-ATACTT_BC06071_N05
28.1	-2.89	Ery-early	Exp100-Sample2.all_Tn5-ATAGCG_BC00133_N02
-2.84	26.31	NK	Exp100-Sample2.all_Tn5-ATAGCG_BC00655_N01
-9.53	14.06	CD8	Exp100-Sample2.all_Tn5-ATAGCG_BC00707_N01
-20.18	10.66	CD8	Exp100-Sample2.all_Tn5-ATAGCG_BC01115_N01
29.52	6.01	Ery-late	Exp100-Sample2.all_Tn5-ATAGCG_BC01169_N02
0.08	25.91	NK	Exp100-Sample2.all_Tn5-ATAGCG_BC01170_N02
-11.68	9.16	CD8	Exp100-Sample2.all_Tn5-ATAGCG_BC01188_N02
-14.21	2.29	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC01502_N02
-16.39	16.78	CD8	Exp100-Sample2.all_Tn5-ATAGCG_BC01593_N02
-15.5	8.51	CD8	Exp100-Sample2.all_Tn5-ATAGCG_BC01804_N01
28.29	-1.82	Ery-early	Exp100-Sample2.all_Tn5-ATAGCG_BC01902_N02
-26.1	-1.2	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC01908_N03
-2	24.23	NK	Exp100-Sample2.all_Tn5-ATAGCG_BC02087_N02
13.7	-15.7	Mono-2	Exp100-Sample2.all_Tn5-ATAGCG_BC02105_N03
-11.32	13.67	CD8	Exp100-Sample2.all_Tn5-ATAGCG_BC02125_N02
-2.71	27.42	NK	Exp100-Sample2.all_Tn5-ATAGCG_BC02202_N03
18.44	-18	Mono-2	Exp100-Sample2.all_Tn5-ATAGCG_BC02304_N04
14.5	16.08	preB	Exp100-Sample2.all_Tn5-ATAGCG_BC02409_N03
-16.94	2.12	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC02447_N02
-0.63	-12.03	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC02472_N02
-23.8	-4.07	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC02487_N04
10.61	18.47	preB	Exp100-Sample2.all_Tn5-ATAGCG_BC02584_N02
11.76	17	preB	Exp100-Sample2.all_Tn5-ATAGCG_BC02587_N03
7.92	14.87	preB	Exp100-Sample2.all_Tn5-ATAGCG_BC02651_N02
-17.99	3.46	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC02673_N03
14.9	17.88	preB	Exp100-Sample2.all_Tn5-ATAGCG_BC02781_N03
8.82	15.57	preB	Exp100-Sample2.all_Tn5-ATAGCG_BC02814_N03
25.69	-6.33	Ery-early	Exp100-Sample2.all_Tn5-ATAGCG_BC02841_N04
6.72	-22.2	Mono-2	Exp100-Sample2.all_Tn5-ATAGCG_BC02928_N04
-24.58	-3.25	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC03137_N04
-7.16	10.9	CD8	Exp100-Sample2.all_Tn5-ATAGCG_BC03147_N03
-22.62	3.92	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC03213_N03
9.12	-6.11	Mono-1	Exp100-Sample2.all_Tn5-ATAGCG_BC03235_N03
32.19	5.71	Ery-late	Exp100-Sample2.all_Tn5-ATAGCG_BC03248_N02
-24.14	-3.82	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC03402_N03
-6.8	-23.79	pDC	Exp100-Sample2.all_Tn5-ATAGCG_BC03537_N03
-7.42	-9.67	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC03745_N03
-19.7	4.48	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC03755_N05
12.11	19.9	preB	Exp100-Sample2.all_Tn5-ATAGCG_BC03767_N02
-14.81	3.39	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC03844_N04
-6.93	13.77	CD8	Exp100-Sample2.all_Tn5-ATAGCG_BC03876_N04
-1.15	19.84	NK	Exp100-Sample2.all_Tn5-ATAGCG_BC03908_N04
-18.58	-7.35	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC04004_N03
-0.93	4.27	NK	Exp100-Sample2.all_Tn5-ATAGCG_BC04179_N04
-7.72	-11.89	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC04245_N03
9.68	8.68	preB	Exp100-Sample2.all_Tn5-ATAGCG_BC04255_N02
-19.5	-11.86	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC04335_N05
-16.01	-8.18	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC04454_N03
-8.07	22.83	NK	Exp100-Sample2.all_Tn5-ATAGCG_BC04703_N04
-8.7	-10.29	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC04807_N02
11.04	-3.19	Mono-1	Exp100-Sample2.all_Tn5-ATAGCG_BC04984_N02
31.49	3	Ery-late	Exp100-Sample2.all_Tn5-ATAGCG_BC05042_N02
-3.69	-14.21	CD4	Exp100-Sample2.all_Tn5-ATAGCG_BC05199_N03
-3.16	-27.63	HSPC	Exp100-Sample2.all_Tn5-ATAGCG_BC05527_N03
13.9	-5.88	Mono-1	Exp100-Sample2.all_Tn5-ATAGCG_BC05647_N03
-1.41	3.77	CD8	Exp100-Sample2.all_Tn5-ATAGCG_BC05661_N04
15.35	17	preB	Exp100-Sample2.all_Tn5-ATAGCG_BC05677_N03
8.24	3.95	B	Exp100-Sample2.all_Tn5-ATATAC_BC00368_N04
7.51	-22.43	Mono-2	Exp100-Sample2.all_Tn5-ATATAC_BC00579_N01
-9.24	-25.25	pDC	Exp100-Sample2.all_Tn5-ATATAC_BC00712_N03
8.38	-20.8	Mono-2	Exp100-Sample2.all_Tn5-ATATAC_BC00745_N03
-4.76	27.72	NK	Exp100-Sample2.all_Tn5-ATATAC_BC00975_N03
18.15	-12.46	Mono-2	Exp100-Sample2.all_Tn5-ATATAC_BC01052_N02
-5.15	27.02	NK	Exp100-Sample2.all_Tn5-ATATAC_BC01057_N02
17.73	-13.24	Mono-1	Exp100-Sample2.all_Tn5-ATATAC_BC01121_N02
15.95	18.57	preB	Exp100-Sample2.all_Tn5-ATATAC_BC01164_N02
-16.01	0.65	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC01257_N01
28.33	-1.73	Ery-early	Exp100-Sample2.all_Tn5-ATATAC_BC01537_N03
15.84	14.49	preB	Exp100-Sample2.all_Tn5-ATATAC_BC01596_N02
-25.24	-1.23	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC01756_N03
-13.28	6.04	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC01772_N02
26.14	-8.88	Ery-early	Exp100-Sample2.all_Tn5-ATATAC_BC01812_N03
-16.8	-6.73	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC01864_N03
7.48	10.19	preB	Exp100-Sample2.all_Tn5-ATATAC_BC01916_N01
-5.99	-10.68	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC01988_N02
-5.92	6.82	CD8	Exp100-Sample2.all_Tn5-ATATAC_BC02000_N02
12.32	19.5	preB	Exp100-Sample2.all_Tn5-ATATAC_BC02079_N03
14.83	12.77	preB	Exp100-Sample2.all_Tn5-ATATAC_BC02090_N03
-6.82	-23.76	HSPC	Exp100-Sample2.all_Tn5-ATATAC_BC02143_N02
8.4	-13.35	Mono-2	Exp100-Sample2.all_Tn5-ATATAC_BC02300_N01
13.58	-15.93	Mono-1	Exp100-Sample2.all_Tn5-ATATAC_BC02597_N02
-10.86	12.1	CD8	Exp100-Sample2.all_Tn5-ATATAC_BC02668_N02
-17.21	-9.35	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC02876_N03
-5.2	-7.91	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC02899_N03
19.3	-0.08	CLP	Exp100-Sample2.all_Tn5-ATATAC_BC02918_N02
-22.68	-7.34	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC02949_N03
14.21	16.47	preB	Exp100-Sample2.all_Tn5-ATATAC_BC02957_N03
-14.17	10.2	CD8	Exp100-Sample2.all_Tn5-ATATAC_BC03167_N04
-1.17	-11.85	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC03175_N01
-22.48	1.2	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC03262_N02
-2.17	25.01	NK	Exp100-Sample2.all_Tn5-ATATAC_BC03367_N02
-6.26	0.85	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC03494_N02
-18.32	-6.32	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC03504_N02
1.73	-7.98	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC03518_N03
13.11	-7.49	Mono-1	Exp100-Sample2.all_Tn5-ATATAC_BC03521_N03
-12.44	16.63	CD8	Exp100-Sample2.all_Tn5-ATATAC_BC03592_N04
-13.53	-10.74	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC03615_N03
-11.43	4.35	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC03748_N03
-13.08	3.68	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC03797_N03
-11.5	15.3	CD8	Exp100-Sample2.all_Tn5-ATATAC_BC03859_N03
-16.57	-12.11	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC03870_N04
-10.95	-11.49	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC03893_N02
-9.75	-8.09	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC04126_N02
8.58	11.44	preB	Exp100-Sample2.all_Tn5-ATATAC_BC04222_N04
7.63	-7.15	Mono-1	Exp100-Sample2.all_Tn5-ATATAC_BC04604_N02
-20.81	-13.21	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC04635_N02
31.54	7.3	Ery-late	Exp100-Sample2.all_Tn5-ATATAC_BC05208_N04
-6.64	-16.86	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC05215_N04
-5.27	-15.84	CD4	Exp100-Sample2.all_Tn5-ATATAC_BC05254_N03
7.66	10.93	preB	Exp100-Sample2.all_Tn5-ATATAC_BC05277_N06
5.78	-5.62	Mono-1	Exp100-Sample2.all_Tn5-ATATAC_BC05432_N04
-8.48	11.59	CD8	Exp100-Sample2.all_Tn5-ATATAC_BC05499_N06
32.47	5.84	Ery-late	Exp100-Sample2.all_Tn5-ATATAC_BC05513_N02
31.24	5.09	Ery-late	Exp100-Sample2.all_Tn5-ATATAC_BC05546_N04
10.09	3	B	Exp100-Sample2.all_Tn5-ATCCGG_BC00502_N02
-9.85	17.23	CD8	Exp100-Sample2.all_Tn5-ATCCGG_BC01285_N01
26.79	-11.07	Ery-early	Exp100-Sample2.all_Tn5-ATCCGG_BC01413_N02
-3.62	21.87	NK	Exp100-Sample2.all_Tn5-ATCCGG_BC01583_N01
10.11	-22.96	Mono-2	Exp100-Sample2.all_Tn5-ATCCGG_BC01606_N02
15.33	-17.97	Mono-2	Exp100-Sample2.all_Tn5-ATCCGG_BC01627_N02
31.06	1.48	Ery-late	Exp100-Sample2.all_Tn5-ATCCGG_BC01776_N02
17.41	15.38	preB	Exp100-Sample2.all_Tn5-ATCCGG_BC02073_N02
16.68	18.36	preB	Exp100-Sample2.all_Tn5-ATCCGG_BC02148_N01
-4.97	-24.06	pDC	Exp100-Sample2.all_Tn5-ATCCGG_BC02234_N05
-14.44	3.76	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC02324_N02
-19.62	4.33	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC02360_N01
-19.72	-7.67	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC02645_N02
17.47	-5.96	Mono-1	Exp100-Sample2.all_Tn5-ATCCGG_BC02661_N01
-19.2	-3.61	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC02680_N02
-13.97	-6.17	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC02830_N01
15.33	19.01	preB	Exp100-Sample2.all_Tn5-ATCCGG_BC02834_N03
1	-23.41	HSPC	Exp100-Sample2.all_Tn5-ATCCGG_BC02856_N04
11.05	11.27	preB	Exp100-Sample2.all_Tn5-ATCCGG_BC02960_N01
11.21	-15.5	Mono-2	Exp100-Sample2.all_Tn5-ATCCGG_BC03121_N03
17.21	15.9	proB	Exp100-Sample2.all_Tn5-ATCCGG_BC03127_N03
0.17	-26.15	HSPC	Exp100-Sample2.all_Tn5-ATCCGG_BC03257_N03
-20.94	-11.63	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC03349_N02
-13.88	13.13	CD8	Exp100-Sample2.all_Tn5-ATCCGG_BC03373_N03
3.68	-21.98	HSPC	Exp100-Sample2.all_Tn5-ATCCGG_BC03443_N03
-22.7	9.97	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC03568_N03
-9.57	15.38	CD8	Exp100-Sample2.all_Tn5-ATCCGG_BC03597_N04
-18.74	1.27	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC03868_N04
-8.34	-3.12	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC03896_N02
12.15	15.12	preB	Exp100-Sample2.all_Tn5-ATCCGG_BC04018_N03
-20	-14.08	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC04026_N02
-15.66	-12.93	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC04040_N02
-17.34	3.81	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC04137_N05
-25.33	1.11	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC04161_N02
-21.24	3.12	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC04224_N02
15.73	-9.48	Mono-1	Exp100-Sample2.all_Tn5-ATCCGG_BC04386_N03
31.05	0.77	Ery-late	Exp100-Sample2.all_Tn5-ATCCGG_BC04401_N05
-9.34	-3.56	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC04412_N03
-12.97	14.53	CD8	Exp100-Sample2.all_Tn5-ATCCGG_BC04538_N01
-19.72	4.82	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC04555_N04
-19.47	-9.67	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC04585_N04
0.72	-6.65	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC04615_N02
-19.87	6.41	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC04626_N03
-20.94	-10.97	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC04669_N03
-26.05	0.68	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC04851_N05
-14.76	14.45	CD8	Exp100-Sample2.all_Tn5-ATCCGG_BC04941_N04
7.3	-1.8	Collision	Exp100-Sample2.all_Tn5-ATCCGG_BC05027_N02
-15.78	5.15	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC05028_N04
13.94	18.9	preB	Exp100-Sample2.all_Tn5-ATCCGG_BC05062_N04
-4.93	9.14	CD8	Exp100-Sample2.all_Tn5-ATCCGG_BC05079_N04
0.56	1.52	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC05096_N03
-14.06	-8.25	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC05118_N05
-4.55	8.99	CD8	Exp100-Sample2.all_Tn5-ATCCGG_BC05151_N04
15.18	18.35	preB	Exp100-Sample2.all_Tn5-ATCCGG_BC05176_N04
-24.98	-1.32	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC05329_N05
-19.17	7.37	CD8	Exp100-Sample2.all_Tn5-ATCCGG_BC05342_N05
-23.16	-7.87	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC05376_N04
-14.58	-13.23	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC05515_N03
10.52	5.92	preB	Exp100-Sample2.all_Tn5-ATCCGG_BC05612_N05
17.15	-19.43	Mono-2	Exp100-Sample2.all_Tn5-ATCCGG_BC05658_N03
11.47	-14.26	Mono-2	Exp100-Sample2.all_Tn5-ATCCGG_BC05659_N03
-19.89	-8.36	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC05814_N03
-22.52	-0.05	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC05837_N04
-5.82	8.64	CD8	Exp100-Sample2.all_Tn5-ATCCGG_BC05922_N04
11.23	-16.35	Mono-2	Exp100-Sample2.all_Tn5-ATCCGG_BC05989_N05
-6.71	3.87	CD4	Exp100-Sample2.all_Tn5-ATCCGG_BC06126_N03
-3.05	20.51	NK	Exp100-Sample2.all_Tn5-ATCCGG_BC06171_N05
-0.64	-26.72	HSPC	Exp100-Sample2.all_Tn5-ATGAAG_BC00299_N01
12.29	-18.51	Mono-2	Exp100-Sample2.all_Tn5-ATGAAG_BC00328_N03
23.11	8.13	proB	Exp100-Sample2.all_Tn5-ATGAAG_BC00330_N01
2.91	-29.21	HSPC	Exp100-Sample2.all_Tn5-ATGAAG_BC00468_N02
17.08	-16.76	Mono-2	Exp100-Sample2.all_Tn5-ATGAAG_BC00472_N01
15.8	-10.48	Mono-2	Exp100-Sample2.all_Tn5-ATGAAG_BC00491_N01
1.39	-24.62	HSPC	Exp100-Sample2.all_Tn5-ATGAAG_BC00631_N02
-19.15	2.08	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC00635_N02
7.41	-20.46	HSPC	Exp100-Sample2.all_Tn5-ATGAAG_BC00662_N02
15.2	15.86	preB	Exp100-Sample2.all_Tn5-ATGAAG_BC00757_N01
5.76	-11.84	Mono-1	Exp100-Sample2.all_Tn5-ATGAAG_BC00810_N04
-2.07	-11.7	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC00884_N01
25.61	-8.89	Ery-early	Exp100-Sample2.all_Tn5-ATGAAG_BC00916_N03
-26.63	-3.13	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC01067_N03
-16.69	-4.81	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC01135_N02
-8.23	13.49	CD8	Exp100-Sample2.all_Tn5-ATGAAG_BC01225_N02
22.16	7.08	proB	Exp100-Sample2.all_Tn5-ATGAAG_BC01286_N02
-22.87	-8.65	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC01328_N02
7.11	-18.74	Mono-2	Exp100-Sample2.all_Tn5-ATGAAG_BC01390_N03
-16.4	-5.25	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC01399_N02
-8.56	17.96	CD8	Exp100-Sample2.all_Tn5-ATGAAG_BC01492_N02
-15.46	15.74	CD8	Exp100-Sample2.all_Tn5-ATGAAG_BC01644_N04
-11.34	16.42	CD8	Exp100-Sample2.all_Tn5-ATGAAG_BC01670_N04
-18.31	-2.66	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC01753_N02
-13.04	17.98	CD8	Exp100-Sample2.all_Tn5-ATGAAG_BC01764_N02
12.35	-21.8	Mono-2	Exp100-Sample2.all_Tn5-ATGAAG_BC01841_N04
19.38	-16.21	Mono-2	Exp100-Sample2.all_Tn5-ATGAAG_BC01842_N02
-10.16	-12.69	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC01889_N02
-16.69	-5.51	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC02013_N03
-23.55	1.28	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC02157_N02
-2.94	25.99	NK	Exp100-Sample2.all_Tn5-ATGAAG_BC02166_N02
-25.59	-5.19	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC02175_N03
-19.45	-2.26	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC02309_N03
-13.3	-7.99	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC02332_N03
-13.71	15.4	CD8	Exp100-Sample2.all_Tn5-ATGAAG_BC02371_N02
13.62	-17.61	Mono-2	Exp100-Sample2.all_Tn5-ATGAAG_BC02403_N01
11.17	3.53	B	Exp100-Sample2.all_Tn5-ATGAAG_BC02457_N02
-18.07	-10.08	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC02488_N03
-18.9	-9.85	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC02558_N04
-0.63	28.91	NK	Exp100-Sample2.all_Tn5-ATGAAG_BC02751_N04
-16.57	17.09	CD8	Exp100-Sample2.all_Tn5-ATGAAG_BC02752_N02
-24.72	-9.16	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC02935_N02
14.08	18.15	preB	Exp100-Sample2.all_Tn5-ATGAAG_BC03025_N03
-18.18	1.54	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC03291_N03
-27.12	-3.28	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC03296_N03
-14.23	1.31	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC03312_N02
17.29	14.09	preB	Exp100-Sample2.all_Tn5-ATGAAG_BC03361_N04
-25.26	5.84	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC03508_N04
15.29	13.13	preB	Exp100-Sample2.all_Tn5-ATGAAG_BC03917_N04
-8.43	13.39	CD8	Exp100-Sample2.all_Tn5-ATGAAG_BC03937_N02
17.12	13.14	preB	Exp100-Sample2.all_Tn5-ATGAAG_BC03984_N03
31.3	7.91	Ery-late	Exp100-Sample2.all_Tn5-ATGAAG_BC04012_N03
-10.62	1.34	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC04015_N04
10.65	8.27	preB	Exp100-Sample2.all_Tn5-ATGAAG_BC04133_N03
-8.53	-14.9	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC04387_N04
-19.02	2.93	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC04441_N05
-21.94	-2.77	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC04491_N04
-16.63	-16.1	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC05164_N06
14.73	-15.06	Mono-2	Exp100-Sample2.all_Tn5-ATGAAG_BC05201_N05
-3.31	11.94	CD8	Exp100-Sample2.all_Tn5-ATGAAG_BC05366_N05
11.5	-7.57	Mono-1	Exp100-Sample2.all_Tn5-ATGAAG_BC05532_N03
7.98	-10.08	Mono-1	Exp100-Sample2.all_Tn5-ATGAAG_BC05674_N04
12.7	-3.63	Mono-1	Exp100-Sample2.all_Tn5-ATGAAG_BC05902_N03
-7.86	5.11	CD4	Exp100-Sample2.all_Tn5-ATGAAG_BC05986_N04
